timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
237906256,32767,32767,32767,32767,32767,-77,32767
237910256,32767,32767,32767,32767,32767,32767,32767
237914256,32767,32767,32767,32767,32767,-61,32767
237918256,32767,32767,32767,32767,-58,32767,32767
237922256,32767,32767,32767,32767,32767,32767,32767
237926256,32767,32767,32767,32767,32767,-77,32767
237930256,32767,32767,32767,32767,-69,32767,32767
237934256,32767,32767,32767,32767,32767,-61,32767
237938256,32767,32767,32767,32767,-47,32767,32767
237942256,32767,32767,32767,32767,32767,32767,32767
237946256,32767,32767,32767,32767,32767,-77,32767
237950256,32767,32767,32767,32767,32767,32767,32767
237954256,32767,32767,32767,32767,32767,-61,32767
237958256,32767,32767,32767,32767,32767,32767,32767
237962256,32767,32767,32767,32767,-76,32767,32767
237966256,32767,32767,32767,32767,32767,-77,32767
237970256,32767,32767,32767,32767,-49,32767,32767
237974256,32767,32767,32767,32767,32767,-61,32767
237978256,32767,32767,32767,32767,32767,32767,32767
237982256,32767,32767,32767,32767,-68,32767,32767
237986256,32767,32767,32767,32767,32767,-77,32767
237990256,32767,32767,32767,32767,32767,32767,32767
237994256,32767,32767,32767,32767,32767,-61,32767
237998257,32767,32767,32767,32767,32767,32767,32767
238002256,32767,32767,32767,32767,-58,32767,32767
238006256,32767,32767,32767,32767,32767,-77,32767
238010256,32767,32767,32767,32767,32767,32767,32767
238014256,32767,32767,32767,32767,-69,-61,32767
238018256,32767,32767,32767,32767,32767,32767,32767
238022256,32767,32767,32767,32767,-47,32767,32767
238026256,32767,32767,32767,32767,32767,-77,32767
238030256,32767,32767,32767,32767,32767,32767,32767
238034256,32767,32767,32767,32767,32767,32767,32767
238038256,32767,32767,32767,32767,32767,32767,32767
238042256,32767,32767,32767,32767,32767,32767,32767
238046256,32767,32767,32767,32767,-71,-69,32767
238050256,32767,32767,32767,32767,32767,32767,32767
238054256,32767,32767,32767,32767,-49,32767,32767
238058256,32767,32767,32767,32767,32767,32767,32767
238062256,32767,32767,32767,32767,32767,32767,32767
238066256,32767,32767,32767,32767,-68,-69,32767
238070256,32767,32767,32767,32767,32767,32767,32767
238074256,32767,32767,32767,32767,32767,32767,32767
238078256,32767,32767,32767,32767,32767,32767,32767
238082256,32767,32767,32767,32767,32767,32767,32767
238086256,32767,32767,32767,32767,-58,-69,32767
